hex_id,flag_no_transition,primary_type,group_type,total_area,diag_total,offdiag_total,offdiag_ratio,dominant_value_col,dominant_area,dominant_share_of_offdiag,dom_from,dom_to,dom_from_name,dom_to_name,beta_obs,beta_nat_clim,beta_res_clim,share_nat_clim,dominance_clim,beta_nat_co2,beta_res_co2,share_nat_co2,dominance_co2,beta_clim,beta_co2,beta_res,share_abs_clim,share_abs_co2,share_abs_res,P90_trend,VPD90_trend,Tmean_trend,SM90_L1_trend,ET90_trend,SWnet90_trend,VPD_resid_trend
310799,FALSE,Other,Other,100350000,98910000,1440000,0.014349776,VALUE_609,1080000,0.75,6,9,sparse_vegetation,bare_areas,0.475140611,0.032593424,0.442547188,0.068597428,RESIDUAL,0.23676326,0.238377351,0.498301459,RESIDUAL,0.032593424,0.204169836,0.238377351,0.068597428,0.429704031,0.501698541,1.105322552,-0.001546088,0.039614317,0.001243817,0.972231843,-0.512635735,-0.004296555
310800,FALSE,Other,Other,100260000,99450000,810000,0.008078995,VALUE_609,450000,0.555555556,6,9,sparse_vegetation,bare_areas,0.368329013,0.046049218,0.322279795,0.125021968,RESIDUAL,0.247220974,0.12110804,0.671196036,NATURAL,0.046049218,0.201171756,0.12110804,0.125021968,0.546174068,0.328803964,1.621801734,-0.000840339,0.053835491,0.001882558,1.472044971,-0.665569857,-0.004704367
310801,TRUE,,No_transition,100350000,100350000,0,0,VALUE_102,0,,1,2,cropland,forest,0.056407216,0.052851364,0.003555853,0.936961033,NATURAL,0.252425768,-0.196018551,0.562892107,NATURAL,0.052851364,0.199574404,-0.196018551,0.117854907,0.4450372,0.437107893,1.86987758,-0.000413016,0.06214824,0.002186259,1.721206451,-0.757079702,-0.004928953
310804,FALSE,Urban_expansion,Urban_expansion,98460000,97470000,990000,0.010054845,VALUE_1008,630000,0.636363636,10,8,water_and_ice,urban,0.092912809,0.015681857,0.077230952,0.168780358,RESIDUAL,0.223628525,-0.130715717,0.63110529,NATURAL,0.015681857,0.207946668,-0.130715717,0.044255995,0.586849294,0.36889471,-1.431330997,-0.004263937,-0.054849289,0.001743301,0.28167765,-0.662539193,-0.000165462
310805,FALSE,Urban_expansion,Urban_expansion,100440000,93060000,7380000,0.073476703,VALUE_108,5040000,0.682926829,1,8,cropland,urban,0.068945415,0.013661228,0.055284187,0.198145567,RESIDUAL,0.221526218,-0.152580803,0.592146647,NATURAL,0.013661228,0.20786499,-0.152580803,0.036516899,0.555629748,0.407853353,-1.361641773,-0.003685565,-0.029902597,0.001222226,0.242204773,-0.620591702,-0.001394704
310808,FALSE,Urban_expansion,Urban_expansion,100350000,97470000,2880000,0.028699552,VALUE_908,1260000,0.4375,9,8,bare_areas,urban,0.140753564,0.00831606,0.132437503,0.059082415,RESIDUAL,0.217163756,-0.076410192,0.739724207,NATURAL,0.00831606,0.208847696,-0.076410192,0.02832697,0.711397236,0.260275793,-1.273008829,-0.002256698,-0.010678117,0.000867665,0.244548859,-0.220365295,-0.001185928
311222,FALSE,Bare_or_sparse_to_grass_or_forest,Bare_or_sparse_to_grass_or_forest,100350000,87750000,12600000,0.125560538,VALUE_604,4950000,0.392857143,6,4,sparse_vegetation,grassland,0.444877561,-0.007780669,0.452658231,0.016898375,RESIDUAL,0.203557857,0.241319705,0.45755928,RESIDUAL,-0.007780669,0.211338526,0.241319705,0.016898375,0.458993639,0.524107986,-0.190087198,0.000883754,0.016820331,-0.000428106,-0.624043927,-0.158904406,-3.08E-05
311223,FALSE,Bare_to_Sparse,Bare_to_Sparse,98370000,90090000,8280000,0.084172004,VALUE_906,4050000,0.489130435,9,6,bare_areas,sparse_vegetation,0.410199248,-0.005347087,0.415546336,0.012704136,RESIDUAL,0.205512412,0.204686837,0.50100631,NATURAL,-0.005347087,0.210859499,0.204686837,0.012704136,0.500980741,0.486315123,-0.063302716,0.00071571,0.016047998,-0.000366878,-0.55893926,-0.179190649,-0.000151838
311224,FALSE,Bare_to_Sparse,Bare_to_Sparse,100260000,54630000,45630000,0.455116697,VALUE_906,24660000,0.540433925,9,6,bare_areas,sparse_vegetation,0.321998217,-0.006285287,0.328283505,0.018786233,RESIDUAL,0.204350227,0.11764799,0.634631548,NATURAL,-0.006285287,0.210635514,0.11764799,0.018786233,0.629573109,0.351640658,-0.104439921,0.001045436,0.01553275,-0.000302225,-0.726775913,-0.203651128,0.000204134
311225,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,59130000,41220000,0.410762332,VALUE_906,34920000,0.847161572,9,6,bare_areas,sparse_vegetation,0.255513636,-0.00874136,0.264254996,0.032020062,RESIDUAL,0.201863935,0.053649701,0.790031946,NATURAL,-0.00874136,0.210605295,0.053649701,0.032020062,0.771458264,0.196521674,-0.305011129,0.002424686,0.018867916,-0.000335851,-0.738086244,-0.219465697,0.001331654
